5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,5:20,5:25,5:28,5:31,5:34,5:37
5703,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,5:39,5:44,5:47,5:50,5:54,5:56
5001,普通,5:08,5:10,5:13,5:16,5:19,5:22,5:24,5:28,5:31,5:34,5:36,5:39,5:42,5:44,5:49,5:54,5:57,6:00,6:03,6:06
5003,普通,5:30,5:32,5:35,5:38,5:41,5:44,5:46,5:49,5:53,5:55,5:58,6:01,6:04,6:06,6:12,6:16,6:20,6:23,6:26,6:28
5705,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,6:25,6:31,6:34,6:37,6:41,6:43
5201,普通,5:42,5:45,5:47,5:50,5:53,5:56,5:58,6:02,6:05,6:08,6:10,6:17,6:20,6:23,・・,・・,・・,・・,・・,・・
3001,快速,5:50,5:53,5:55,5:58,6:01,↓,↓,↓,↓,6:12,↓,6:16,↓,↓,6:23,↓,↓,↓,↓,6:35
5203,普通,5:55,5:58,6:00,6:03,6:06,6:09,6:11,6:15,6:18,6:21,6:23,6:26,6:29,6:31,・・,・・,・・,・・,・・,・・
4001,区快,6:04,6:07,6:10,6:13,6:15,↓,↓,6:22,6:25,6:28,↓,6:32,6:35,↓,6:41,6:45,6:49,6:52,6:55,6:57
5205,普通,6:09,6:12,6:14,6:17,6:20,6:23,6:25,6:29,6:32,6:35,6:37,6:40,6:43,6:45,・・,・・,・・,・・,・・,・・
4003,区快,6:16,6:19,6:21,6:24,6:27,↓,↓,6:33,6:37,6:39,↓,6:43,6:46,↓,6:52,6:57,7:00,7:03,7:07,7:09
5005,普通,6:19,6:22,6:25,6:28,6:30,6:34,6:36,6:39,6:42,6:45,6:48,6:50,6:54,6:56,7:05,7:11,7:14,7:17,7:20,7:23
5207,普通,6:26,6:29,6:31,6:34,6:37,6:40,6:42,6:49,6:52,6:55,6:58,7:00,7:03,7:06,・・,・・,・・,・・,・・,・・
3003,快速,6:30,6:33,6:36,6:39,6:42,↓,↓,↓,↓,6:52,↓,6:56,↓,↓,7:04,↓,↓,↓,↓,7:15
5209,普通,6:36,6:39,6:42,6:45,6:47,6:50,6:52,6:56,6:59,7:02,7:05,7:07,7:10,7:13,・・,・・,・・,・・,・・,・・
4005,区快,6:45,6:47,6:50,6:53,6:56,↓,↓,7:02,7:05,7:08,↓,7:12,7:15,↓,7:21,7:25,7:29,7:32,7:35,7:38
5007,普通,6:48,6:51,6:53,6:56,6:59,7:02,7:04,7:08,7:12,7:14,7:17,7:20,7:23,7:25,7:35,7:41,7:45,7:48,7:51,7:54
5211,普通,6:56,6:59,7:01,7:04,7:07,7:10,7:12,7:19,7:22,7:25,7:28,7:30,7:33,7:36,・・,・・,・・,・・,・・,・・
3005,快速,7:00,7:03,7:06,7:09,7:12,↓,↓,↓,↓,7:22,↓,7:26,↓,↓,7:34,↓,↓,↓,↓,7:45
5213,普通,7:08,7:10,7:13,7:16,7:19,7:22,7:24,7:28,7:31,7:34,7:36,7:39,7:42,7:44,・・,・・,・・,・・,・・,・・
4007,区快,7:15,7:17,7:20,7:23,7:26,↓,↓,7:32,7:35,7:38,↓,7:42,7:45,↓,7:51,7:56,7:59,8:02,8:05,8:08
5009,普通,7:18,7:21,7:23,7:26,7:29,7:32,7:34,7:38,7:42,7:45,7:47,7:50,7:53,7:55,8:06,8:12,8:15,8:18,8:21,8:24
5215,普通,7:25,7:28,7:31,7:34,7:36,7:39,7:41,7:48,7:51,7:54,7:57,7:59,8:03,8:05,・・,・・,・・,・・,・・,・・
3007,快速,7:30,7:32,7:35,7:38,7:41,↓,↓,↓,↓,7:51,↓,7:55,↓,↓,8:03,↓,↓,↓,↓,8:15
5217,普通,7:33,7:36,7:39,7:42,7:44,7:47,7:49,7:57,8:00,8:03,8:06,8:08,8:12,8:14,・・,・・,・・,・・,・・,・・
4201,区快,7:38,7:40,7:43,7:46,7:49,↓,↓,7:55,7:58,8:01,↓,8:05,8:08,↓,・・,・・,・・,・・,・・,・・
5219,普通,7:40,7:43,7:46,7:49,7:52,7:55,7:57,8:05,8:08,8:11,8:14,8:16,8:19,8:22,・・,・・,・・,・・,・・,・・
4009,区快,7:45,7:48,7:51,7:54,7:56,↓,↓,8:03,8:06,8:09,↓,8:13,8:16,↓,8:22,8:26,8:30,8:33,8:36,8:38
5219,普通,7:40,7:43,7:46,7:49,7:52,7:55,7:57,8:05,8:08,8:11,8:14,8:16,8:19,8:22,・・,・・,・・,・・,・・,・・
4009,区快,7:45,7:48,7:51,7:54,7:56,↓,↓,8:03,8:06,8:09,↓,8:13,8:16,↓,8:22,8:26,8:30,8:33,8:36,8:38
5011,普通,7:49,7:52,7:55,7:58,8:00,8:04,8:06,8:09,8:12,8:15,8:18,8:20,8:24,8:26,8:35,8:41,8:45,8:48,8:51,8:53
5221,普通,7:56,7:59,8:01,8:04,8:07,8:10,8:12,8:19,8:22,8:25,8:27,8:30,8:33,8:35,・・,・・,・・,・・,・・,・・
3009,快速,8:00,8:03,8:06,8:09,8:12,↓,↓,↓,↓,8:22,↓,8:26,↓,↓,8:34,↓,↓,↓,↓,8:45
5223,普通,8:05,8:07,8:10,8:13,8:16,8:19,8:21,8:25,8:28,8:31,8:34,8:36,8:39,8:42,・・,・・,・・,・・,・・,・・
5225,普通,8:10,8:13,8:16,8:19,8:21,8:24,8:26,8:34,8:37,8:40,8:43,8:45,8:49,8:51,・・,・・,・・,・・,・・,・・
4011,区快,8:15,8:17,8:20,8:23,8:26,↓,↓,8:32,8:35,8:38,↓,8:42,8:45,↓,8:51,8:55,8:59,9:02,9:05,9:08
5013,普通,8:20,8:22,8:25,8:28,8:31,8:34,8:36,8:40,8:43,8:46,8:49,8:51,8:54,8:57,9:05,9:11,9:15,9:18,9:21,9:23
5227,普通,8:26,8:29,8:31,8:34,8:37,8:40,8:42,8:49,8:52,8:55,8:57,9:00,9:03,9:05,・・,・・,・・,・・,・・,・・
3011,快速,8:30,8:33,8:36,8:39,8:42,↓,↓,↓,↓,8:52,↓,8:56,↓,↓,9:04,↓,↓,↓,↓,9:15
5229,普通,8:35,8:38,8:41,8:44,8:46,8:50,8:52,8:55,8:59,9:02,9:04,9:07,9:10,9:12,・・,・・,・・,・・,・・,・・
5231,普通,8:40,8:43,8:45,8:48,8:51,8:55,8:57,9:04,9:07,9:10,9:13,9:16,9:19,9:21,・・,・・,・・,・・,・・,・・
4013,区快,8:45,8:47,8:50,8:53,8:56,↓,↓,9:02,9:05,9:08,↓,9:12,9:15,↓,9:21,9:26,9:29,9:32,9:35,9:38
5015,普通,8:48,8:51,8:54,8:57,9:00,9:03,9:05,9:09,9:12,9:15,9:18,9:21,9:24,9:27,9:35,9:41,9:44,9:47,9:51,9:53
5233,普通,8:55,8:58,9:01,9:04,9:07,9:10,9:12,9:18,9:21,9:24,9:27,9:30,9:33,9:35,・・,・・,・・,・・,・・,・・
3013,快速,9:00,9:03,9:05,9:08,9:11,↓,↓,↓,↓,9:22,↓,9:26,↓,↓,9:33,↓,↓,↓,↓,9:45
5235,普通,9:05,9:08,9:10,9:13,9:16,9:19,9:21,9:25,9:28,9:32,9:34,9:37,9:40,9:42,・・,・・,・・,・・,・・,・・
4015,区快,9:13,9:15,9:18,9:21,9:24,↓,↓,9:30,9:33,9:36,↓,9:40,9:43,↓,9:49,9:53,9:57,10:00,10:03,10:06
5237,普通,9:15,9:18,9:20,9:23,9:26,9:29,9:31,9:35,9:38,9:41,9:44,9:46,9:49,9:52,・・,・・,・・,・・,・・,・・
5017,普通,9:20,9:23,9:26,9:29,9:31,9:34,9:36,9:40,9:43,9:46,9:49,9:51,9:54,9:57,10:05,10:11,10:14,10:17,10:21,10:23
5239,普通,9:26,9:29,9:31,9:34,9:37,9:40,9:42,9:49,9:52,9:55,9:58,10:00,10:03,10:06,・・,・・,・・,・・,・・,・・
3015,快速,9:30,9:33,9:36,9:39,9:42,↓,↓,↓,↓,9:52,↓,9:56,↓,↓,10:04,↓,↓,↓,↓,10:15
5241,普通,9:36,9:39,9:42,9:45,9:47,9:50,9:52,9:56,9:59,10:02,10:05,10:07,10:10,10:13,・・,・・,・・,・・,・・,・・
4017,区快,9:43,9:46,9:49,9:52,9:54,↓,↓,10:01,10:04,10:07,↓,10:11,10:14,↓,10:20,10:24,10:28,10:31,10:34,10:36
5019,普通,9:48,9:51,9:53,9:56,9:59,10:02,10:04,10:08,10:11,10:14,10:17,10:19,10:22,10:25,10:35,10:41,10:44,10:47,10:50,10:53
5243,普通,9:54,9:57,10:00,10:03,10:06,10:09,10:11,10:18,10:21,10:24,10:27,10:29,10:32,10:35,・・,・・,・・,・・,・・,・・
3017,快速,10:00,10:02,10:05,10:08,10:11,↓,↓,↓,↓,10:21,↓,10:25,↓,↓,10:33,↓,↓,↓,↓,10:45
5243,普通,9:54,9:57,10:00,10:03,10:06,10:09,10:11,10:18,10:21,10:24,10:27,10:29,10:32,10:35,・・,・・,・・,・・,・・,・・
3017,快速,10:00,10:02,10:05,10:08,10:11,↓,↓,↓,↓,10:21,↓,10:25,↓,↓,10:33,↓,↓,↓,↓,10:45
5245,普通,10:06,10:09,10:12,10:15,10:17,10:20,10:22,10:26,10:29,10:32,10:35,10:37,10:40,10:43,・・,・・,・・,・・,・・,・・
4019,区快,10:13,10:16,10:19,10:22,10:24,↓,↓,10:31,10:34,10:37,↓,10:41,10:44,↓,10:50,10:54,10:58,11:01,11:04,11:06
5021,普通,10:18,10:21,10:23,10:26,10:29,10:32,10:34,10:38,10:41,10:44,10:47,10:49,10:52,10:55,11:05,11:11,11:14,11:17,11:20,11:23
5247,普通,10:24,10:27,10:30,10:33,10:36,10:39,10:41,10:48,10:51,10:54,10:57,10:59,11:02,11:05,・・,・・,・・,・・,・・,・・
3019,快速,10:30,10:32,10:35,10:38,10:41,↓,↓,↓,↓,10:51,↓,10:55,↓,↓,11:03,↓,↓,↓,↓,11:15
5249,普通,10:36,10:39,10:42,10:45,10:47,10:50,10:52,10:56,10:59,11:02,11:05,11:07,11:10,11:13,・・,・・,・・,・・,・・,・・
4021,区快,10:43,10:46,10:49,10:52,10:54,↓,↓,11:01,11:04,11:07,↓,11:11,11:14,↓,11:20,11:24,11:28,11:31,11:34,11:36
5023,普通,10:48,10:51,10:53,10:56,10:59,11:02,11:04,11:08,11:11,11:14,11:17,11:19,11:22,11:25,11:35,11:41,11:44,11:47,11:50,11:53
5251,普通,10:54,10:57,11:00,11:03,11:06,11:09,11:11,11:18,11:21,11:24,11:27,11:29,11:32,11:35,・・,・・,・・,・・,・・,・・
3021,快速,11:00,11:02,11:05,11:08,11:11,↓,↓,↓,↓,11:21,↓,11:25,↓,↓,11:33,↓,↓,↓,↓,11:45
5253,普通,11:06,11:09,11:12,11:15,11:17,11:20,11:22,11:26,11:29,11:32,11:35,11:37,11:40,11:43,・・,・・,・・,・・,・・,・・
4023,区快,11:13,11:16,11:19,11:22,11:24,↓,↓,11:31,11:34,11:37,↓,11:41,11:44,↓,11:50,11:54,11:58,12:01,12:04,12:06
5025,普通,11:18,11:21,11:23,11:26,11:29,11:32,11:34,11:38,11:41,11:44,11:47,11:49,11:52,11:55,12:05,12:11,12:14,12:17,12:20,12:23
5255,普通,11:24,11:27,11:30,11:33,11:36,11:39,11:41,11:48,11:51,11:54,11:57,11:59,12:02,12:05,・・,・・,・・,・・,・・,・・
3023,快速,11:30,11:32,11:35,11:38,11:41,↓,↓,↓,↓,11:51,↓,11:55,↓,↓,12:03,↓,↓,↓,↓,12:15
5257,普通,11:36,11:39,11:42,11:45,11:47,11:50,11:52,11:56,11:59,12:02,12:05,12:07,12:10,12:13,・・,・・,・・,・・,・・,・・
4025,区快,11:43,11:46,11:49,11:52,11:54,↓,↓,12:01,12:04,12:07,↓,12:11,12:14,↓,12:20,12:24,12:28,12:31,12:34,12:36
5027,普通,11:48,11:51,11:53,11:56,11:59,12:02,12:04,12:08,12:11,12:14,12:17,12:19,12:22,12:25,12:35,12:41,12:44,12:47,12:50,12:53
5259,普通,11:54,11:57,12:00,12:03,12:06,12:09,12:11,12:18,12:21,12:24,12:27,12:29,12:32,12:35,・・,・・,・・,・・,・・,・・
3025,快速,12:00,12:02,12:05,12:08,12:11,↓,↓,↓,↓,12:21,↓,12:25,↓,↓,12:33,↓,↓,↓,↓,12:45
5261,普通,12:06,12:09,12:12,12:15,12:17,12:20,12:22,12:26,12:29,12:32,12:35,12:37,12:40,12:43,・・,・・,・・,・・,・・,・・
4027,区快,12:13,12:16,12:19,12:22,12:24,↓,↓,12:31,12:34,12:37,↓,12:41,12:44,↓,12:50,12:54,12:58,13:01,13:04,13:06
5029,普通,12:18,12:21,12:23,12:26,12:29,12:32,12:34,12:38,12:41,12:44,12:47,12:49,12:52,12:55,13:05,13:11,13:14,13:17,13:20,13:23
5263,普通,12:24,12:27,12:30,12:33,12:36,12:39,12:41,12:48,12:51,12:54,12:57,12:59,13:02,13:05,・・,・・,・・,・・,・・,・・
3027,快速,12:30,12:32,12:35,12:38,12:41,↓,↓,↓,↓,12:51,↓,12:55,↓,↓,13:03,↓,↓,↓,↓,13:15
5265,普通,12:36,12:39,12:42,12:45,12:47,12:50,12:52,12:56,12:59,13:02,13:05,13:07,13:10,13:13,・・,・・,・・,・・,・・,・・
3027,快速,12:30,12:32,12:35,12:38,12:41,↓,↓,↓,↓,12:51,↓,12:55,↓,↓,13:03,↓,↓,↓,↓,13:15
5265,普通,12:36,12:39,12:42,12:45,12:47,12:50,12:52,12:56,12:59,13:02,13:05,13:07,13:10,13:13,・・,・・,・・,・・,・・,・・
4029,区快,12:43,12:46,12:49,12:52,12:54,↓,↓,13:01,13:04,13:07,↓,13:11,13:14,↓,13:20,13:24,13:28,13:31,13:34,13:36
5031,普通,12:48,12:51,12:53,12:56,12:59,13:02,13:04,13:08,13:11,13:14,13:17,13:19,13:22,13:25,13:35,13:41,13:44,13:47,13:50,13:53
5267,普通,12:54,12:57,13:00,13:03,13:06,13:09,13:11,13:18,13:21,13:24,13:27,13:29,13:32,13:35,・・,・・,・・,・・,・・,・・
3029,快速,13:00,13:02,13:05,13:08,13:11,↓,↓,↓,↓,13:21,↓,13:25,↓,↓,13:33,↓,↓,↓,↓,13:45
5269,普通,13:06,13:09,13:12,13:15,13:17,13:20,13:22,13:26,13:29,13:32,13:35,13:37,13:40,13:43,・・,・・,・・,・・,・・,・・
4031,区快,13:13,13:16,13:19,13:22,13:24,↓,↓,13:31,13:34,13:37,↓,13:41,13:44,↓,13:50,13:54,13:58,14:01,14:04,14:06
5033,普通,13:18,13:21,13:23,13:26,13:29,13:32,13:34,13:38,13:41,13:44,13:47,13:49,13:52,13:55,14:05,14:11,14:14,14:17,14:20,14:23
5271,普通,13:24,13:27,13:30,13:33,13:36,13:39,13:41,13:48,13:51,13:54,13:57,13:59,14:02,14:05,・・,・・,・・,・・,・・,・・
3031,快速,13:30,13:32,13:35,13:38,13:41,↓,↓,↓,↓,13:51,↓,13:55,↓,↓,14:03,↓,↓,↓,↓,14:15
5273,普通,13:36,13:39,13:42,13:45,13:47,13:50,13:52,13:56,13:59,14:02,14:05,14:07,14:10,14:13,・・,・・,・・,・・,・・,・・
4033,区快,13:43,13:46,13:49,13:52,13:54,↓,↓,14:01,14:04,14:07,↓,14:11,14:14,↓,14:20,14:24,14:28,14:31,14:34,14:36
5035,普通,13:48,13:51,13:53,13:56,13:59,14:02,14:04,14:08,14:11,14:14,14:17,14:19,14:22,14:25,14:35,14:41,14:44,14:47,14:50,14:53
5275,普通,13:54,13:57,14:00,14:03,14:06,14:09,14:11,14:18,14:21,14:24,14:27,14:29,14:32,14:35,・・,・・,・・,・・,・・,・・
3033,快速,14:00,14:02,14:05,14:08,14:11,↓,↓,↓,↓,14:21,↓,14:25,↓,↓,14:33,↓,↓,↓,↓,14:45
5277,普通,14:06,14:09,14:12,14:15,14:17,14:20,14:22,14:26,14:29,14:32,14:35,14:37,14:40,14:43,・・,・・,・・,・・,・・,・・
4035,区快,14:13,14:16,14:19,14:22,14:24,↓,↓,14:31,14:34,14:37,↓,14:41,14:44,↓,14:50,14:54,14:58,15:01,15:04,15:06
5037,普通,14:18,14:21,14:23,14:26,14:29,14:32,14:34,14:38,14:41,14:44,14:47,14:49,14:52,14:55,15:05,15:11,15:14,15:17,15:20,15:23
5279,普通,14:24,14:27,14:30,14:33,14:36,14:39,14:41,14:48,14:51,14:54,14:57,14:59,15:02,15:05,・・,・・,・・,・・,・・,・・
3035,快速,14:30,14:32,14:35,14:38,14:41,↓,↓,↓,↓,14:51,↓,14:55,↓,↓,15:03,↓,↓,↓,↓,15:15
5281,普通,14:36,14:39,14:42,14:45,14:47,14:50,14:52,14:56,14:59,15:02,15:05,15:07,15:10,15:13,・・,・・,・・,・・,・・,・・
